Friday Harbor,WA,Washington,San Juan,2407,430
Orchards,WA,Washington,Clark,21299,1521
Purdy,WA,Washington,Pierce,1087,178
Tekoa,WA,Washington,Whitman,809,254
Tanner,WA,Washington,King,905,91
Thorp,WA,Washington,Kittitas,297,93
Artondale,WA,Washington,Pierce,12937,372
Liberty Lake,WA,Washington,Spokane,9893,621
Cheney,WA,Washington,Spokane,12421,1106
Sammamish,WA,Washington,King,64548,1219
Cle Elum,WA,Washington,Kittitas,3768,179
Fern Prairie,WA,Washington,Clark,2611,200
Waverly,WA,Washington,Spokane,108,101
Lakewood,WA,Washington,Pierce,60296,1362
Lake Marcel-Stillwater,WA,Washington,King,1220,368
Central Park,WA,Washington,Grays Harbor,2741,300
Bridgeport,WA,Washington,Douglas,2555,961
Raft Island,WA,Washington,Pierce,341,475
Larch Way,WA,Washington,Snohomish,4117,1428
Lake Bosworth,WA,Washington,Snohomish,654,74
Barberton,WA,Washington,Clark,6719,600
Sekiu,WA,Washington,Clallam,50,150
Brier,WA,Washington,Snohomish,6884,1206
Spokane,WA,Washington,Spokane,403043,1218
Fall City,WA,Washington,King,1903,258
Pasco,WA,Washington,Franklin,73013,832
Lyman,WA,Washington,Skagit,468,269
Oakville,WA,Washington,Grays Harbor,684,498
Dash Point,WA,Washington,Pierce,1007,613
Herron Island,WA,Washington,Pierce,69,55
West Clarkston-Highland,WA,Washington,Asotin,5895,816
Royal City,WA,Washington,Grant,2205,639
Venersborg,WA,Washington,Clark,4196,149
Hoquiam,WA,Washington,Grays Harbor,8500,344
Willapa,WA,Washington,Pacific,204,283
Quilcene,WA,Washington,Jefferson,432,18
Freeland,WA,Washington,Island,1698,168
McCleary,WA,Washington,Grays Harbor,1691,318
Roosevelt,WA,Washington,Klickitat,107,10
Long Beach,WA,Washington,Pacific,1413,395
Trout Lake,WA,Washington,Klickitat,654,36
Coulee Dam,WA,Washington,Okanogan,1079,576
Swede Heaven,WA,Washington,Snohomish,1030,55
Pine Grove,WA,Washington,Ferry,111,87
Langley,WA,Washington,Island,1124,430
Sedro-Woolley,WA,Washington,Skagit,11838,1057
Hatton,WA,Washington,Adams,101,104
