CBSA_CODE,CBSA_TITLE,AREA_TYPE,CSA_TITLE,COUNTY,STATE_NAME,IS_CENTRAL
30460,"Lexington-Fayette, KY",Metro,"Lexington-Fayette--Richmond--Frankfort, KY",Clark County,Kentucky,0
30460,"Lexington-Fayette, KY",Metro,"Lexington-Fayette--Richmond--Frankfort, KY",Fayette County,Kentucky,1
30460,"Lexington-Fayette, KY",Metro,"Lexington-Fayette--Richmond--Frankfort, KY",Jessamine County,Kentucky,0
30460,"Lexington-Fayette, KY",Metro,"Lexington-Fayette--Richmond--Frankfort, KY",Scott County,Kentucky,0
30460,"Lexington-Fayette, KY",Metro,"Lexington-Fayette--Richmond--Frankfort, KY",Woodford County,Kentucky,0
30580,"Liberal, KS",Micro,,Seward County,Kansas,1
30620,"Lima, OH",Metro,"Lima-Van Wert-Celina, OH",Allen County,Ohio,1
30660,"Lincoln, IL",Micro,"Springfield-Jacksonville-Lincoln, IL",Logan County,Illinois,1
30700,"Lincoln, NE",Metro,"Lincoln-Beatrice, NE",Lancaster County,Nebraska,1
30700,"Lincoln, NE",Metro,"Lincoln-Beatrice, NE",Seward County,Nebraska,0
30780,"Little Rock-North Little Rock-Conway, AR",Metro,"Little Rock-North Little Rock, AR",Faulkner County,Arkansas,0
30780,"Little Rock-North Little Rock-Conway, AR",Metro,"Little Rock-North Little Rock, AR",Grant County,Arkansas,0
30780,"Little Rock-North Little Rock-Conway, AR",Metro,"Little Rock-North Little Rock, AR",Lonoke County,Arkansas,1
30780,"Little Rock-North Little Rock-Conway, AR",Metro,"Little Rock-North Little Rock, AR",Perry County,Arkansas,0
30780,"Little Rock-North Little Rock-Conway, AR",Metro,"Little Rock-North Little Rock, AR",Pulaski County,Arkansas,1
30780,"Little Rock-North Little Rock-Conway, AR",Metro,"Little Rock-North Little Rock, AR",Saline County,Arkansas,1
30820,"Lock Haven, PA",Micro,"Williamsport-Lock Haven, PA",Clinton County,Pennsylvania,1
30860,"Logan, UT-ID",Metro,,Franklin County,Idaho,0
30860,"Logan, UT-ID",Metro,,Cache County,Utah,1
30900,"Logansport, IN",Micro,,Cass County,Indiana,1
30940,"London, KY",Micro,,Clay County,Kentucky,0
30940,"London, KY",Micro,,Knox County,Kentucky,1
30940,"London, KY",Micro,,Laurel County,Kentucky,1
30940,"London, KY",Micro,,Whitley County,Kentucky,1
30980,"Longview, TX",Metro,,Gregg County,Texas,1
30980,"Longview, TX",Metro,,Harrison County,Texas,0
30980,"Longview, TX",Metro,,Rusk County,Texas,0
30980,"Longview, TX",Metro,,Upshur County,Texas,0
31020,"Longview, WA",Metro,"Portland-Vancouver-Salem, OR-WA",Cowlitz County,Washington,1
31060,"Los Alamos, NM",Micro,"Albuquerque-Santa Fe-Las Vegas, NM",Los Alamos County,New Mexico,1
31080,"Los Angeles-Long Beach-Anaheim, CA",Metro,"Los Angeles-Long Beach, CA",Orange County,California,1
31080,"Los Angeles-Long Beach-Anaheim, CA",Metro,"Los Angeles-Long Beach, CA",Los Angeles County,California,1
31140,"Louisville/Jefferson County, KY-IN",Metro,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN",Clark County,Indiana,1
31140,"Louisville/Jefferson County, KY-IN",Metro,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN",Floyd County,Indiana,1
